file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page,label
396936,34,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
250800,29,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
246975,34,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
367605,59,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
32782,5,8,1,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,0,0,1,0.2,benign
67683,4,7,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
66789,2,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
14845,4,8,1,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,0,0,1,0.25,benign
15797,3,8,1,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,0,0,1,0.3333333333333333,benign
170338,12,6,8,False,0,False,0,False,0,False,0,False,0,False,8,True,0,False,0,False,0,False,0,False,0,False,8,0,0,0,0.6666666666666666,benign
227816,1,7,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
175564,9,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
146609,7,9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
251034,4,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
329269,3,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0,0,0.0,benign
