sha256,label,parse_ok,file_size,page_count,metadata_field_count,suspicious_keyword_total,is_encrypted,javascript_count,has_javascript,js_count,has_js,openaction_count,has_openaction,aa_count,has_aa,launch_count,has_launch,uri_count,has_uri,embeddedfile_count,has_embeddedfile,encrypt_count,has_encrypt,objstm_count,has_objstm,richmedia_count,has_richmedia,acroform_count,has_acroform,action_keyword_total,embedded_or_script_total,stream_like_keyword_total,high_risk_keyword_total,keyword_density_per_page
82f45f65b6c7bae0ae402d6775f99afaae2e1bfc9bab5d7f8b4e16db1cfaf7b3,benign,1,396936,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
aa98e5fcebc46dc87fe782bc43f8760661fc781d82d2d71c2bbb18dc1589b1b8,benign,1,250800,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
b015b0b7352fd28e9dd75775a31053b4369e6b122fc00bdbe05e03353f3930d0,benign,1,246975,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
771617ceedc95cf0ecc6b4007fab326cafff7dc72794796cb4236f2f58342dc0,benign,1,367605,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7c9289f4e42f04cc51f688335e1d8e9d3b997d2933b67f60387ae6ce77e2bca8,benign,1,32782,5,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2
4051ec0582e7b1775ccb0ade075b4f652b811b8f21f96d6ac12cf070767aecce,benign,1,67683,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
c6b2d459ada01f7dfd13fb6b4020afdd8fa4fe56aaac78e282e06cac7a2c6a6c,benign,1,66789,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
c28b6e761e00def811c17bbcbc940bcf34daa525def0ba50f38702d62e79db3e,benign,1,14845,4,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.25
ae2a2de652b1402b9810580ce66f19c5fb071cbb7b963d3060b01fe52178ad89,benign,1,15797,3,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3333333333333333
477352991fe38f6dbaaf6c0971046a346fda092031191bd7be982d8e8a84f0ba,benign,1,170338,12,6,8,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.6666666666666666
16aa33daba48be8fa6e61e93e2661c3413b0211c2bb1df96bd667e476ab5506a,benign,1,227816,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
aef1df9aaa6aeddfe5aabc01f0f90e66cc837b2cd381edeacbfe8897d48dab58,benign,1,175564,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
333e0643d5b6921b191d7731fa05834320b10aada28e3a85c5b24d371cb41d88,benign,1,146609,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8178280950406453db1b3307406e06353571784d8024bf13d8a67314671ffb1f,benign,1,251034,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
090ed678d8d1a1ce07729eb782ab336bcfec70162cd846822dc6caea57e98254,benign,1,329269,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
fe557d15a25f227b63de7667aaefc3c20cbbacf86414763245282f921d73e557,benign,1,89597,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.25
afc303d710342293fe5373ce798b6237dfa0ac2080a22588b1b99cd6820b04ba,benign,1,130658,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
b63ca981b6c469de47bbed1a8f743576f8034c137c12ed2be9f9851eda5d58d0,benign,1,182234,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5cfee609ea8a934c683a591f2b9e45e734984f1f6aa174f35e1bec085296c427,benign,1,39018,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5eaf36202e5c214fac2ff8d2aa5ac03f1937168e9cae455eb8b661880d9ce935,benign,1,74917,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
c8e08d5343226a11e452a3cd335d28103ef529aed66b28b67975ffe45a4141ab,benign,1,42076,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d77e5df5c0efa7341eb96c5aee38e08ebdfd1d32930a0d6b0d3e316f0731384e,benign,1,46374,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3e25dd4b16630753f580337ef86a64b0700aa4b76f86f20fa122e4890d97e01c,benign,1,13568,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
004bb7d9d128c0581bfc18259e1300f50fea9c20adada6cd529b5b572886a87d,benign,1,17459,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5d48a5a0c5700f54cb582b9487950eeb8adf5575565ba856c929d52949debbc4,benign,1,46182,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cbd521bc845cc53bb608410183d2ae688e596a91533f50daf8bce44a443ee05b,benign,1,29152,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11a36720b6f35d43503b411f8d5a4f8114aabbfdccc22bb0fa4f0f18d9484870,benign,1,46348,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d75c65bee1690da7d7ecb85f7b5a81cb7668baaa261f674ffe10bec390809657,benign,1,15521,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
d92250287fd9aa7ff4dd6a748d440558d791d788e8df1a148f88c2f56d8d3f18,benign,1,42074,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2eb117967860c483436c9754dba7a9043a756342bb434445993398b609e3deb9,benign,1,58341,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2f5348573044c055da5e936d03349a4921f0040548bb738b87492ecffd15aea3,benign,1,18179,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
725f0c164967089858ba17545c468809082bdafe2c261ba88b114b37a377e069,benign,1,49720,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
839149bcd1a9b89414d2dffc8a30d3379244116a6372232bcd80a12d5032b043,benign,1,25634,8,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.125
3f18c3954f0bc46f40aeb485f2e409b0d5af6ff6a95f05ae106228269c7b1b5a,benign,1,26280,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3fe658afa62e00eb0db910f78562a0e3f97830f773253baecd001ae52ad5c309,benign,1,46381,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71eb9ae31d6d4099c83c05714c9c3cbd85066e5e933a5223dd8916a6e256a05b,benign,1,25516,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
